model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,dataset
RF_0,0.9814814814814816,0.6851851851851852,0.9793650793650794,0.6700111482720179,0.961783439490446,0.3326063249727371,0.5880059831023943,0.0556544242181718,0.9793650793650794,0.6700111482720179,0.04,0.97,4.32,157,cylinder-bands
SVC_1,0.9537037037037036,0.75,0.928962019052332,0.7138157894736843,0.8892108840048214,0.4163330664531625,0.4454745850280076,0.0843310409420581,0.928962019052332,0.7138157894736843,0.07,0.97,3.66,93,cylinder-bands
XGB_2,0.9953703703703703,0.7777777777777778,0.9952380952380953,0.780451127819549,0.9904761904761904,0.5351506456241033,0.6497543394972118,0.1526426598025422,0.9952380952380953,0.780451127819549,0.04,0.98,4.32,133,cylinder-bands
RF_2,1.0,0.9824561403508772,1.0,0.9823200992555832,1.0,0.9646401985111662,0.6471058439335028,0.6010440844072392,1.0,0.9823200992555832,0.35,1.0,2.54,35,wdbc
SVC_1,1.0,0.9385964912280702,1.0,0.9412878787878788,1.0,0.8751173708920188,0.6443315938557966,0.4593461444245896,1.0,0.9412878787878788,0.1,0.99,2.39,46,wdbc
XGB_2,0.9978021978021978,0.912280701754386,0.9968553459119496,0.9053970223325062,0.9951591109787108,0.8209798994974875,0.6323980488906897,0.4118468326974132,0.9968553459119496,0.9053970223325062,0.21,0.99,2.71,58,wdbc
RF_0,1.0,0.8583333333333333,1.0,0.8612588055817293,1.0,0.830127404446665,1.7911844277746278,1.3678757484001651,1.0,0.8612588055817293,0.33,1.0,2.19,74,kdd-synthetic-control
SVC_0,1.0,0.6,1.0,0.5868507051943584,1.0,0.518716577540107,1.7914465825634258,0.9062945950400524,1.0,0.5868507051943584,0.1,0.97,3.05,144,kdd-synthetic-control
XGB_1,0.9791666666666666,0.4833333333333333,0.9788829446288227,0.5012826984340647,0.9749947905813712,0.3821111203388422,1.692843049149059,0.7163984338213851,0.9788829446288227,0.5012826984340647,0.11,0.91,3.49,155,kdd-synthetic-control
RF_2,0.902,0.88,0.6507799663899144,0.6269230769230769,0.8178384487270998,0.7717589774802192,0.5370289411217593,0.4379697007809772,0.6507799663899144,0.6269230769230769,0.19,0.98,3.34,95,balance-scale
SVC_1,0.874,0.808,0.6755681818181819,0.6466666666666666,0.777082684632151,0.6723817844272142,0.599984216816805,0.5437577544470432,0.6755681818181819,0.6466666666666666,0.2,0.97,3.32,109,balance-scale
XGB_2,0.906,0.856,0.6610075002901673,0.6044061302681992,0.82552657564351,0.7271073377804731,0.5494472928460166,0.3620991259190609,0.6610075002901673,0.6044061302681992,0.2,0.97,3.35,95,balance-scale
RF_1,0.6135531135531136,0.4890510948905109,0.5523360968530733,0.3693969772917141,0.5690301438735887,0.432510799455589,1.403771684882838,1.4080261550303268,0.5523360968530733,0.3693969772917141,0.3,0.7,5.21,87,soybean
SVC_0,0.4945054945054945,0.4963503649635036,0.3932913394519227,0.344847915242652,0.4201569119361579,0.4252447254818507,1.1605937155927804,1.2661166497180707,0.3932913394519227,0.344847915242652,0.43,0.62,3.44,27,soybean
XGB_0,0.5274725274725275,0.5182481751824818,0.5951997563839669,0.5881548791765511,0.4754203362690151,0.4749128919860627,1.6438096017238006,1.660215312763107,0.5951997563839669,0.5881548791765511,0.72,0.81,3.0,17,soybean
RF_2,0.9637681159420288,0.8188405797101449,0.9593731163351416,0.8181818181818181,0.9255151196210988,0.6367656348704991,0.5330817035099285,0.2190905062158674,0.9593731163351416,0.8181818181818181,0.09,0.98,3.95,95,credit-a
SVC_0,1.0,1.0,1.0,1.0,1.0,1.0,0.4534650765650603,0.4505612088663049,1.0,1.0,1.0,1.0,1.0,2,credit-a
XGB_2,0.9438405797101448,0.855072463768116,0.9345991561181436,0.8496912923142431,0.8835062494894208,0.7041800643086816,0.4940834334510822,0.2726618631512904,0.9345991561181436,0.8496912923142431,0.09,0.98,3.81,85,credit-a
RF_1,0.996422182468694,0.9428571428571428,0.9948979591836736,0.9169590643274854,0.9921246530761754,0.8642424242424243,0.625636569924918,0.4130364333566684,0.9948979591836736,0.9169590643274854,0.39,1.0,3.08,38,breast-w
SVC_0,1.0,0.9642857142857144,1.0,0.9561403508771932,1.0,0.9176470588235294,0.655208231779776,0.4744718586324961,1.0,0.9561403508771932,0.62,1.0,2.94,18,breast-w
XGB_0,0.996422182468694,0.95,0.9949238578680204,0.9315511867657637,0.9921432486753152,0.880195599022005,0.6267418738348178,0.4182802514802072,0.9949238578680204,0.9315511867657637,0.4,1.0,3.03,35,breast-w
RF_2,0.998371335504886,0.9025974025974026,0.9976525821596244,0.8966836734693877,0.9964017393546571,0.7903430749682339,0.6341171253442857,0.3420926903466718,0.9976525821596244,0.8966836734693877,0.06,0.99,3.62,202,diabetes
SVC_1,1.0,0.8961038961038961,1.0,0.8666666666666667,1.0,0.7642105263157895,0.5803540382332447,0.3215162862322441,1.0,0.8666666666666667,0.17,1.0,3.32,94,diabetes
XGB_0,0.973941368078176,0.9025974025974026,0.9712444771723122,0.8840425531914894,0.9398820160086162,0.7895024603608529,0.5063831059156172,0.3537708099251427,0.9712444771723122,0.8840425531914894,0.11,0.98,3.76,147,diabetes
RF_0,0.9940828402366864,0.7764705882352941,0.9941885038038883,0.7634000746175849,0.992103818434547,0.7007042253521127,1.350690801704579,0.7144511980800565,0.9941885038038883,0.7634000746175849,0.08,0.98,4.32,194,vehicle
SVC_1,0.9763313609467456,0.7,0.9770032646942214,0.6868589743589744,0.9684327883397444,0.5973060845332094,1.275550625814072,0.5278761370304292,0.9770032646942214,0.6868589743589744,0.05,0.94,3.8,235,vehicle
XGB_0,0.9822485207100592,0.7823529411764706,0.9829954654574552,0.7640231092436974,0.976315466770997,0.7082154288630144,1.309062049579967,0.7806369107751339,0.9829954654574552,0.7640231092436974,0.07,0.95,4.11,179,vehicle
RF_1,0.814621409921671,0.8020833333333334,0.7329642601589275,0.7121212121212122,0.5321433179921717,0.4916387959866221,0.1964105617910335,0.1811045748022083,0.7329642601589275,0.7121212121212122,0.14,0.93,4.05,42,tic-tac-toe
SVC_1,0.856396866840731,0.8229166666666666,0.7852960362227082,0.734451257664873,0.6383101106618247,0.5344458707744972,0.2522985370918086,0.1642170527636465,0.7852960362227082,0.734451257664873,0.12,0.93,3.8,44,tic-tac-toe
XGB_2,0.8537859007832899,0.8072916666666666,0.7957895529695327,0.7377344877344878,0.6467633423091809,0.5267785771382894,0.2424012968455999,0.1570423141329259,0.7957895529695327,0.7377344877344878,0.09,0.92,4.65,54,tic-tac-toe
RF_2,0.9127604166666666,0.922279792746114,0.9095796073594408,0.9180283224400873,0.8228977366595077,0.8413263907919978,0.3924516586142644,0.4140334592442071,0.9095796073594408,0.9180283224400873,0.21,0.98,3.95,121,mammographic-masses
SVC_1,1.0,1.0,1.0,1.0,1.0,1.0,0.6567294596789176,0.670409959717846,1.0,1.0,1.0,1.0,1.0,2,mammographic-masses
XGB_0,0.984375,0.9792746113989638,0.9833916083916084,0.9790262986307324,0.968476357267951,0.9580525972614647,0.612012354627016,0.5864929405171495,0.9833916083916084,0.9790262986307324,0.31,0.98,3.05,39,mammographic-masses
RF_2,0.9739336492890996,0.8530805687203792,0.9622634403540156,0.7940438871473354,0.9407057320772793,0.6324661459796594,0.5247381879137436,0.2040116356160641,0.9622634403540156,0.7940438871473354,0.04,0.99,3.07,192,qsar-biodeg
SVC_1,1.0,0.8483412322274881,1.0,0.8002026342451874,1.0,0.6370672973554075,0.6249978460915225,0.2098544420677682,1.0,0.8002026342451874,0.05,0.99,3.16,162,qsar-biodeg
XGB_0,0.9845971563981044,0.9289099526066352,0.9820003195398626,0.908012023217247,0.9649071183665114,0.8326370895246153,0.5522556031024635,0.3688296375852541,0.9820003195398626,0.908012023217247,0.07,0.98,3.42,155,qsar-biodeg
RF_0,1.0,0.8150470219435737,1.0,0.8087114885967269,1.0,0.7940426556361687,2.302031711607819,1.6004886079056415,1.0,0.8087114885967269,0.17,1.0,4.18,282,semeion
SVC_0,0.3642072213500785,0.2884012539184953,0.3643611672223826,0.2849236053833577,0.2933524705340978,0.2116596810189973,0.4645934791577774,0.450765144533057,0.3643611672223826,0.2849236053833577,0.1,0.55,4.95,100,semeion
XGB_1,0.2849293563579277,0.2789968652037617,0.2846647218248676,0.2844074074074074,0.2059926784733297,0.1969484698568363,0.4772611470932868,0.5640418297213246,0.2846647218248676,0.2844074074074074,0.39,0.39,2.75,8,semeion
RF_2,0.947178002894356,0.9479768786127168,0.8864236511951027,0.8831372549019608,0.8842275101673598,0.8898654264443226,0.6205246840858314,0.696744651234328,0.8864236511951027,0.8831372549019608,0.18,0.93,5.42,52,car
SVC_0,0.9544138929088278,0.9682080924855492,0.9385818597170792,0.9542302878598248,0.9013910313474724,0.934156805757387,0.6744312443323215,0.7693273951624101,0.9385818597170792,0.9542302878598248,0.19,0.95,5.38,50,car
XGB_1,0.9283646888567294,0.8930635838150289,0.8590874215332917,0.8058441558441558,0.8372012774686701,0.7650491851416826,0.5523777723019039,0.5526910596525882,0.8590874215332917,0.8058441558441558,0.18,0.93,5.31,51,car
RF_2,0.96875,0.475,0.969366411097792,0.4745876537111872,0.9652736781425584,0.4160949262819844,2.134055748093697,0.7496732143411806,0.969366411097792,0.4745876537111872,0.04,0.83,3.54,640,cmc
SVC_0,0.965625,0.54,0.9659842300659506,0.5347148006037608,0.9617773364797536,0.4867539277968773,2.1062013168112914,0.9063119634974226,0.9659842300659506,0.5347148006037608,0.04,0.84,3.35,586,cmc
XGB_1,0.93875,0.4575,0.9396486035333972,0.4645506923826068,0.9319356114356856,0.3978411077503676,1.9995732680107297,0.7128223477076161,0.9396486035333972,0.4645506923826068,0.03,0.81,3.33,679,cmc
RF_0,1.0,1.0,1.0,1.0,1.0,1.0,0.3734399346716082,0.4487318132019497,1.0,1.0,0.58,1.0,1.75,4,titanic
SVC_1,1.0,1.0,1.0,1.0,1.0,1.0,0.5074102275122094,0.5591996853260961,1.0,1.0,1.0,1.0,1.0,2,titanic
XGB_0,1.0,1.0,1.0,1.0,1.0,1.0,0.3734399346716082,0.4487318132019497,1.0,1.0,0.58,1.0,1.75,4,titanic
RF_0,1.0,0.9285714285714286,1.0,0.9364389661898516,1.0,0.9165489835462576,1.9454557949138147,1.6688881482387787,1.0,0.9364389661898516,0.15,0.99,4.04,137,segment
SVC_1,0.9994588744588744,0.9285714285714286,0.9994708994708994,0.9327201783723524,0.99936853478543,0.916533450125917,1.941610973521673,1.662850562023615,0.9994708994708994,0.9327201783723524,0.15,0.98,3.51,138,segment
XGB_1,0.9994588744588744,0.9329004329004328,0.999439775910364,0.9389349203758178,0.9993685910971344,0.9216246388232204,1.941910871162892,1.7026808929760198,0.999439775910364,0.9389349203758178,0.19,0.95,3.49,105,segment
