attribute,importance,model,method,dataset
press,0.0,RF_0,0,cylinder-bands
unit_number,0.0,RF_0,0,cylinder-bands
plating_tank,0.0,RF_0,0,cylinder-bands
proof_cut,0.0,RF_0,0,cylinder-bands
viscosity,0.0009259259259259,RF_0,0,cylinder-bands
caliper,0.0,RF_0,0,cylinder-bands
ink_temperature,0.0034722222222222,RF_0,0,cylinder-bands
humifity,0.0041666666666666,RF_0,0,cylinder-bands
roughness,0.0,RF_0,0,cylinder-bands
blade_pressure,0.0004629629629629,RF_0,0,cylinder-bands
varnish_pct,0.0,RF_0,0,cylinder-bands
press_speed,0.0034722222222222,RF_0,0,cylinder-bands
ink_pct,0.0,RF_0,0,cylinder-bands
solvent_pct,0.0,RF_0,0,cylinder-bands
esa_voltage,0.0011574074074073,RF_0,0,cylinder-bands
esa_amperage,0.0,RF_0,0,cylinder-bands
wax,0.0,RF_0,0,cylinder-bands
hardener,0.0,RF_0,0,cylinder-bands
roller_durometer,0.0,RF_0,0,cylinder-bands
current_density,0.0,RF_0,0,cylinder-bands
anode_space_ratio,0.0004629629629629,RF_0,0,cylinder-bands
chrome_content,0.0,RF_0,0,cylinder-bands
grain_screened_no,0.0,RF_0,0,cylinder-bands
grain_screened_yes,0.0,RF_0,0,cylinder-bands
ink_color_key,0.0,RF_0,0,cylinder-bands
proof_on_ctd_ink_no,0.0,RF_0,0,cylinder-bands
proof_on_ctd_ink_yes,0.0,RF_0,0,cylinder-bands
blade_mfg_benton,0.0,RF_0,0,cylinder-bands
blade_mfg_uddeholm,0.0,RF_0,0,cylinder-bands
cylinder_division_gallatin,0.0,RF_0,0,cylinder-bands
paper_type_coated,0.0,RF_0,0,cylinder-bands
paper_type_super,0.0,RF_0,0,cylinder-bands
paper_type_uncoated,0.0,RF_0,0,cylinder-bands
ink_type_coated,0.0,RF_0,0,cylinder-bands
ink_type_cover,0.0,RF_0,0,cylinder-bands
ink_type_uncoated,0.0,RF_0,0,cylinder-bands
direct_steam_no,0.0,RF_0,0,cylinder-bands
direct_steam_yes,0.0,RF_0,0,cylinder-bands
solvent_type_line,0.0,RF_0,0,cylinder-bands
solvent_type_naptha,0.0,RF_0,0,cylinder-bands
solvent_type_xylol,0.0,RF_0,0,cylinder-bands
type_on_cylinder_no,0.0,RF_0,0,cylinder-bands
type_on_cylinder_yes,0.0,RF_0,0,cylinder-bands
press_type_albert70,0.0,RF_0,0,cylinder-bands
press_type_motter70,0.0,RF_0,0,cylinder-bands
press_type_motter94,0.0,RF_0,0,cylinder-bands
press_type_woodhoe70,0.0023148148148147,RF_0,0,cylinder-bands
cylinder_size_catalog,0.0,RF_0,0,cylinder-bands
cylinder_size_spiegel,0.0,RF_0,0,cylinder-bands
cylinder_size_tabloid,0.0,RF_0,0,cylinder-bands
paper_mill_location_canadian,0.0,RF_0,0,cylinder-bands
paper_mill_location_mideuropean,0.0,RF_0,0,cylinder-bands
paper_mill_location_northus,0.0,RF_0,0,cylinder-bands
paper_mill_location_scandanavian,0.0,RF_0,0,cylinder-bands
paper_mill_location_southus,0.0,RF_0,0,cylinder-bands
press,0.0201388888888889,SVC_1,0,cylinder-bands
unit_number,0.0083333333333333,SVC_1,0,cylinder-bands
plating_tank,0.0067129629629629,SVC_1,0,cylinder-bands
proof_cut,-0.0016203703703703,SVC_1,0,cylinder-bands
viscosity,0.0050925925925926,SVC_1,0,cylinder-bands
caliper,0.0023148148148148,SVC_1,0,cylinder-bands
ink_temperature,0.005324074074074,SVC_1,0,cylinder-bands
humifity,0.0034722222222222,SVC_1,0,cylinder-bands
roughness,0.0030092592592592,SVC_1,0,cylinder-bands
blade_pressure,0.0342592592592592,SVC_1,0,cylinder-bands
varnish_pct,0.1078703703703703,SVC_1,0,cylinder-bands
press_speed,0.0611111111111111,SVC_1,0,cylinder-bands
ink_pct,0.0152777777777777,SVC_1,0,cylinder-bands
solvent_pct,0.0268518518518518,SVC_1,0,cylinder-bands
esa_voltage,0.0074074074074074,SVC_1,0,cylinder-bands
esa_amperage,0.0020833333333333,SVC_1,0,cylinder-bands
wax,0.0011574074074073,SVC_1,0,cylinder-bands
hardener,0.0104166666666666,SVC_1,0,cylinder-bands
roller_durometer,0.0011574074074074,SVC_1,0,cylinder-bands
current_density,0.0085648148148148,SVC_1,0,cylinder-bands
anode_space_ratio,0.0090277777777777,SVC_1,0,cylinder-bands
chrome_content,-0.0011574074074073,SVC_1,0,cylinder-bands
grain_screened_no,0.0099537037037037,SVC_1,0,cylinder-bands
grain_screened_yes,0.0069444444444444,SVC_1,0,cylinder-bands
ink_color_key,0.0,SVC_1,0,cylinder-bands
proof_on_ctd_ink_no,0.0143518518518518,SVC_1,0,cylinder-bands
proof_on_ctd_ink_yes,0.00625,SVC_1,0,cylinder-bands
blade_mfg_benton,0.0166666666666666,SVC_1,0,cylinder-bands
blade_mfg_uddeholm,0.0025462962962962,SVC_1,0,cylinder-bands
cylinder_division_gallatin,0.0,SVC_1,0,cylinder-bands
paper_type_coated,0.0085648148148148,SVC_1,0,cylinder-bands
paper_type_super,0.0,SVC_1,0,cylinder-bands
paper_type_uncoated,0.0099537037037037,SVC_1,0,cylinder-bands
ink_type_coated,0.0122685185185185,SVC_1,0,cylinder-bands
ink_type_cover,0.0106481481481481,SVC_1,0,cylinder-bands
ink_type_uncoated,-1.1102230246251566e-17,SVC_1,0,cylinder-bands
direct_steam_no,0.0032407407407407,SVC_1,0,cylinder-bands
direct_steam_yes,0.0,SVC_1,0,cylinder-bands
solvent_type_line,0.0219907407407407,SVC_1,0,cylinder-bands
solvent_type_naptha,0.0025462962962962,SVC_1,0,cylinder-bands
solvent_type_xylol,0.0034722222222222,SVC_1,0,cylinder-bands
type_on_cylinder_no,0.0113425925925926,SVC_1,0,cylinder-bands
type_on_cylinder_yes,0.0180555555555555,SVC_1,0,cylinder-bands
press_type_albert70,0.0134259259259259,SVC_1,0,cylinder-bands
press_type_motter70,0.0025462962962962,SVC_1,0,cylinder-bands
press_type_motter94,0.0,SVC_1,0,cylinder-bands
press_type_woodhoe70,0.0469907407407407,SVC_1,0,cylinder-bands
cylinder_size_catalog,0.0233796296296296,SVC_1,0,cylinder-bands
cylinder_size_spiegel,0.0002314814814814,SVC_1,0,cylinder-bands
cylinder_size_tabloid,0.0060185185185185,SVC_1,0,cylinder-bands
paper_mill_location_canadian,0.0337962962962963,SVC_1,0,cylinder-bands
paper_mill_location_mideuropean,0.0034722222222221,SVC_1,0,cylinder-bands
paper_mill_location_northus,0.0069444444444444,SVC_1,0,cylinder-bands
paper_mill_location_scandanavian,0.0004629629629629,SVC_1,0,cylinder-bands
paper_mill_location_southus,0.0002314814814814,SVC_1,0,cylinder-bands
press,0.03125,XGB_2,0,cylinder-bands
unit_number,0.0192129629629629,XGB_2,0,cylinder-bands
plating_tank,0.0,XGB_2,0,cylinder-bands
proof_cut,0.0,XGB_2,0,cylinder-bands
viscosity,0.0238425925925925,XGB_2,0,cylinder-bands
caliper,0.0,XGB_2,0,cylinder-bands
ink_temperature,0.0018518518518518,XGB_2,0,cylinder-bands
humifity,0.0175925925925925,XGB_2,0,cylinder-bands
roughness,0.0,XGB_2,0,cylinder-bands
blade_pressure,0.0224537037037036,XGB_2,0,cylinder-bands
varnish_pct,0.0034722222222222,XGB_2,0,cylinder-bands
press_speed,0.0305555555555555,XGB_2,0,cylinder-bands
ink_pct,0.0,XGB_2,0,cylinder-bands
solvent_pct,0.0104166666666666,XGB_2,0,cylinder-bands
esa_voltage,0.0092592592592592,XGB_2,0,cylinder-bands
esa_amperage,0.0,XGB_2,0,cylinder-bands
wax,0.0013888888888888,XGB_2,0,cylinder-bands
hardener,0.0006944444444444,XGB_2,0,cylinder-bands
roller_durometer,0.0,XGB_2,0,cylinder-bands
current_density,0.0,XGB_2,0,cylinder-bands
anode_space_ratio,0.005324074074074,XGB_2,0,cylinder-bands
chrome_content,0.0,XGB_2,0,cylinder-bands
grain_screened_no,0.0,XGB_2,0,cylinder-bands
grain_screened_yes,0.0,XGB_2,0,cylinder-bands
ink_color_key,0.0,XGB_2,0,cylinder-bands
proof_on_ctd_ink_no,0.0,XGB_2,0,cylinder-bands
proof_on_ctd_ink_yes,0.0,XGB_2,0,cylinder-bands
blade_mfg_benton,0.0018518518518518,XGB_2,0,cylinder-bands
blade_mfg_uddeholm,0.0,XGB_2,0,cylinder-bands
cylinder_division_gallatin,0.0,XGB_2,0,cylinder-bands
paper_type_coated,0.0,XGB_2,0,cylinder-bands
paper_type_super,0.0,XGB_2,0,cylinder-bands
paper_type_uncoated,0.0,XGB_2,0,cylinder-bands
ink_type_coated,0.0,XGB_2,0,cylinder-bands
ink_type_cover,0.0,XGB_2,0,cylinder-bands
ink_type_uncoated,0.0,XGB_2,0,cylinder-bands
direct_steam_no,0.0,XGB_2,0,cylinder-bands
direct_steam_yes,0.0,XGB_2,0,cylinder-bands
solvent_type_line,0.0,XGB_2,0,cylinder-bands
solvent_type_naptha,0.0,XGB_2,0,cylinder-bands
solvent_type_xylol,0.0,XGB_2,0,cylinder-bands
type_on_cylinder_no,0.0,XGB_2,0,cylinder-bands
type_on_cylinder_yes,0.0,XGB_2,0,cylinder-bands
press_type_albert70,0.0,XGB_2,0,cylinder-bands
press_type_motter70,0.0,XGB_2,0,cylinder-bands
press_type_motter94,0.0,XGB_2,0,cylinder-bands
press_type_woodhoe70,0.0219907407407407,XGB_2,0,cylinder-bands
cylinder_size_catalog,0.0,XGB_2,0,cylinder-bands
cylinder_size_spiegel,0.0,XGB_2,0,cylinder-bands
cylinder_size_tabloid,0.0,XGB_2,0,cylinder-bands
paper_mill_location_canadian,0.0,XGB_2,0,cylinder-bands
paper_mill_location_mideuropean,0.0,XGB_2,0,cylinder-bands
paper_mill_location_northus,0.0,XGB_2,0,cylinder-bands
paper_mill_location_scandanavian,0.0,XGB_2,0,cylinder-bands
paper_mill_location_southus,0.0,XGB_2,0,cylinder-bands
press,0.0754629629629629,RK_C2,0,cylinder-bands
unit_number,0.0104166666666666,RK_C2,0,cylinder-bands
plating_tank,0.0018518518518518,RK_C2,0,cylinder-bands
proof_cut,0.0127314814814814,RK_C2,0,cylinder-bands
viscosity,0.0324074074074073,RK_C2,0,cylinder-bands
caliper,0.0062499999999999,RK_C2,0,cylinder-bands
ink_temperature,0.0414351851851851,RK_C2,0,cylinder-bands
humifity,0.0344907407407407,RK_C2,0,cylinder-bands
roughness,0.0201388888888888,RK_C2,0,cylinder-bands
blade_pressure,0.0247685185185184,RK_C2,0,cylinder-bands
varnish_pct,0.0506944444444443,RK_C2,0,cylinder-bands
press_speed,0.0694444444444443,RK_C2,0,cylinder-bands
ink_pct,0.0578703703703703,RK_C2,0,cylinder-bands
solvent_pct,0.0363425925925925,RK_C2,0,cylinder-bands
esa_voltage,0.0388888888888888,RK_C2,0,cylinder-bands
esa_amperage,0.0,RK_C2,0,cylinder-bands
wax,0.0284722222222221,RK_C2,0,cylinder-bands
hardener,0.0284722222222221,RK_C2,0,cylinder-bands
roller_durometer,0.0238425925925925,RK_C2,0,cylinder-bands
current_density,0.0212962962962962,RK_C2,0,cylinder-bands
anode_space_ratio,0.0076388888888888,RK_C2,0,cylinder-bands
chrome_content,0.0,RK_C2,0,cylinder-bands
grain_screened_no,0.0608796296296295,RK_C2,0,cylinder-bands
grain_screened_yes,0.0071759259259258,RK_C2,0,cylinder-bands
ink_color_key,0.0,RK_C2,0,cylinder-bands
proof_on_ctd_ink_no,0.0027777777777777,RK_C2,0,cylinder-bands
proof_on_ctd_ink_yes,0.0004629629629629,RK_C2,0,cylinder-bands
blade_mfg_benton,0.0013888888888888,RK_C2,0,cylinder-bands
blade_mfg_uddeholm,0.0,RK_C2,0,cylinder-bands
cylinder_division_gallatin,0.0,RK_C2,0,cylinder-bands
paper_type_coated,0.0,RK_C2,0,cylinder-bands
paper_type_super,0.0025462962962962,RK_C2,0,cylinder-bands
paper_type_uncoated,0.0,RK_C2,0,cylinder-bands
ink_type_coated,0.0,RK_C2,0,cylinder-bands
ink_type_cover,0.0020833333333332,RK_C2,0,cylinder-bands
ink_type_uncoated,0.0,RK_C2,0,cylinder-bands
direct_steam_no,0.0,RK_C2,0,cylinder-bands
direct_steam_yes,0.0,RK_C2,0,cylinder-bands
solvent_type_line,0.0,RK_C2,0,cylinder-bands
solvent_type_naptha,0.0,RK_C2,0,cylinder-bands
solvent_type_xylol,0.0,RK_C2,0,cylinder-bands
type_on_cylinder_no,0.0020833333333332,RK_C2,0,cylinder-bands
type_on_cylinder_yes,0.0094907407407407,RK_C2,0,cylinder-bands
press_type_albert70,0.0,RK_C2,0,cylinder-bands
press_type_motter70,0.0,RK_C2,0,cylinder-bands
press_type_motter94,0.0,RK_C2,0,cylinder-bands
press_type_woodhoe70,0.0442129629629629,RK_C2,0,cylinder-bands
cylinder_size_catalog,0.0,RK_C2,0,cylinder-bands
cylinder_size_spiegel,0.0,RK_C2,0,cylinder-bands
cylinder_size_tabloid,0.0,RK_C2,0,cylinder-bands
paper_mill_location_canadian,0.0101851851851851,RK_C2,0,cylinder-bands
paper_mill_location_mideuropean,0.0,RK_C2,0,cylinder-bands
paper_mill_location_northus,0.004861111111111,RK_C2,0,cylinder-bands
paper_mill_location_scandanavian,0.004398148148148,RK_C2,0,cylinder-bands
paper_mill_location_southus,0.0002314814814814,RK_C2,0,cylinder-bands
press,0.0754629629629629,RF_0_RK_C2,0,cylinder-bands
unit_number,0.0104166666666666,RF_0_RK_C2,0,cylinder-bands
plating_tank,0.0018518518518518,RF_0_RK_C2,0,cylinder-bands
proof_cut,0.0127314814814814,RF_0_RK_C2,0,cylinder-bands
viscosity,0.0324074074074073,RF_0_RK_C2,0,cylinder-bands
caliper,0.0062499999999999,RF_0_RK_C2,0,cylinder-bands
ink_temperature,0.0414351851851851,RF_0_RK_C2,0,cylinder-bands
humifity,0.0344907407407407,RF_0_RK_C2,0,cylinder-bands
roughness,0.0201388888888888,RF_0_RK_C2,0,cylinder-bands
blade_pressure,0.0247685185185184,RF_0_RK_C2,0,cylinder-bands
varnish_pct,0.0506944444444443,RF_0_RK_C2,0,cylinder-bands
press_speed,0.0694444444444443,RF_0_RK_C2,0,cylinder-bands
ink_pct,0.0578703703703703,RF_0_RK_C2,0,cylinder-bands
solvent_pct,0.0363425925925925,RF_0_RK_C2,0,cylinder-bands
esa_voltage,0.0388888888888888,RF_0_RK_C2,0,cylinder-bands
esa_amperage,0.0,RF_0_RK_C2,0,cylinder-bands
wax,0.0284722222222221,RF_0_RK_C2,0,cylinder-bands
hardener,0.0284722222222221,RF_0_RK_C2,0,cylinder-bands
roller_durometer,0.0238425925925925,RF_0_RK_C2,0,cylinder-bands
current_density,0.0212962962962962,RF_0_RK_C2,0,cylinder-bands
anode_space_ratio,0.0076388888888888,RF_0_RK_C2,0,cylinder-bands
chrome_content,0.0,RF_0_RK_C2,0,cylinder-bands
grain_screened_no,0.0608796296296295,RF_0_RK_C2,0,cylinder-bands
grain_screened_yes,0.0071759259259258,RF_0_RK_C2,0,cylinder-bands
ink_color_key,0.0,RF_0_RK_C2,0,cylinder-bands
proof_on_ctd_ink_no,0.0027777777777777,RF_0_RK_C2,0,cylinder-bands
proof_on_ctd_ink_yes,0.0004629629629629,RF_0_RK_C2,0,cylinder-bands
blade_mfg_benton,0.0013888888888888,RF_0_RK_C2,0,cylinder-bands
blade_mfg_uddeholm,0.0,RF_0_RK_C2,0,cylinder-bands
cylinder_division_gallatin,0.0,RF_0_RK_C2,0,cylinder-bands
paper_type_coated,0.0,RF_0_RK_C2,0,cylinder-bands
paper_type_super,0.0025462962962962,RF_0_RK_C2,0,cylinder-bands
paper_type_uncoated,0.0,RF_0_RK_C2,0,cylinder-bands
ink_type_coated,0.0,RF_0_RK_C2,0,cylinder-bands
ink_type_cover,0.0020833333333332,RF_0_RK_C2,0,cylinder-bands
ink_type_uncoated,0.0,RF_0_RK_C2,0,cylinder-bands
direct_steam_no,0.0,RF_0_RK_C2,0,cylinder-bands
direct_steam_yes,0.0,RF_0_RK_C2,0,cylinder-bands
solvent_type_line,0.0,RF_0_RK_C2,0,cylinder-bands
solvent_type_naptha,0.0,RF_0_RK_C2,0,cylinder-bands
solvent_type_xylol,0.0,RF_0_RK_C2,0,cylinder-bands
type_on_cylinder_no,0.0020833333333332,RF_0_RK_C2,0,cylinder-bands
type_on_cylinder_yes,0.0094907407407407,RF_0_RK_C2,0,cylinder-bands
press_type_albert70,0.0,RF_0_RK_C2,0,cylinder-bands
press_type_motter70,0.0,RF_0_RK_C2,0,cylinder-bands
press_type_motter94,0.0,RF_0_RK_C2,0,cylinder-bands
press_type_woodhoe70,0.0442129629629629,RF_0_RK_C2,0,cylinder-bands
cylinder_size_catalog,0.0,RF_0_RK_C2,0,cylinder-bands
cylinder_size_spiegel,0.0,RF_0_RK_C2,0,cylinder-bands
cylinder_size_tabloid,0.0,RF_0_RK_C2,0,cylinder-bands
paper_mill_location_canadian,0.0101851851851851,RF_0_RK_C2,0,cylinder-bands
paper_mill_location_mideuropean,0.0,RF_0_RK_C2,0,cylinder-bands
paper_mill_location_northus,0.004861111111111,RF_0_RK_C2,0,cylinder-bands
paper_mill_location_scandanavian,0.004398148148148,RF_0_RK_C2,0,cylinder-bands
paper_mill_location_southus,0.0002314814814814,RF_0_RK_C2,0,cylinder-bands
press,0.0872685185185184,SVC_1_RK_C2,0,cylinder-bands
unit_number,0.0009259259259259,SVC_1_RK_C2,0,cylinder-bands
plating_tank,0.004861111111111,SVC_1_RK_C2,0,cylinder-bands
proof_cut,0.0039351851851851,SVC_1_RK_C2,0,cylinder-bands
viscosity,0.0141203703703703,SVC_1_RK_C2,0,cylinder-bands
caliper,0.0129629629629629,SVC_1_RK_C2,0,cylinder-bands
ink_temperature,0.0083333333333333,SVC_1_RK_C2,0,cylinder-bands
humifity,0.0009259259259259,SVC_1_RK_C2,0,cylinder-bands
roughness,0.0009259259259259,SVC_1_RK_C2,0,cylinder-bands
blade_pressure,0.0071759259259258,SVC_1_RK_C2,0,cylinder-bands
varnish_pct,0.0726851851851851,SVC_1_RK_C2,0,cylinder-bands
press_speed,0.1349537037037036,SVC_1_RK_C2,0,cylinder-bands
ink_pct,0.0372685185185184,SVC_1_RK_C2,0,cylinder-bands
solvent_pct,0.011111111111111,SVC_1_RK_C2,0,cylinder-bands
esa_voltage,0.0284722222222221,SVC_1_RK_C2,0,cylinder-bands
esa_amperage,0.0,SVC_1_RK_C2,0,cylinder-bands
wax,0.0067129629629629,SVC_1_RK_C2,0,cylinder-bands
hardener,0.036574074074074,SVC_1_RK_C2,0,cylinder-bands
roller_durometer,0.0162037037037036,SVC_1_RK_C2,0,cylinder-bands
current_density,0.0060185185185184,SVC_1_RK_C2,0,cylinder-bands
anode_space_ratio,0.0057870370370369,SVC_1_RK_C2,0,cylinder-bands
chrome_content,0.0069444444444444,SVC_1_RK_C2,0,cylinder-bands
grain_screened_no,0.0256944444444443,SVC_1_RK_C2,0,cylinder-bands
grain_screened_yes,0.0,SVC_1_RK_C2,0,cylinder-bands
ink_color_key,0.0,SVC_1_RK_C2,0,cylinder-bands
proof_on_ctd_ink_no,0.0020833333333332,SVC_1_RK_C2,0,cylinder-bands
proof_on_ctd_ink_yes,0.0,SVC_1_RK_C2,0,cylinder-bands
blade_mfg_benton,0.0067129629629628,SVC_1_RK_C2,0,cylinder-bands
blade_mfg_uddeholm,0.0,SVC_1_RK_C2,0,cylinder-bands
cylinder_division_gallatin,0.0,SVC_1_RK_C2,0,cylinder-bands
paper_type_coated,0.0,SVC_1_RK_C2,0,cylinder-bands
paper_type_super,0.0,SVC_1_RK_C2,0,cylinder-bands
paper_type_uncoated,0.0,SVC_1_RK_C2,0,cylinder-bands
ink_type_coated,0.0,SVC_1_RK_C2,0,cylinder-bands
ink_type_cover,0.0023148148148147,SVC_1_RK_C2,0,cylinder-bands
ink_type_uncoated,0.0027777777777777,SVC_1_RK_C2,0,cylinder-bands
direct_steam_no,0.0,SVC_1_RK_C2,0,cylinder-bands
direct_steam_yes,0.0,SVC_1_RK_C2,0,cylinder-bands
solvent_type_line,0.0138888888888888,SVC_1_RK_C2,0,cylinder-bands
solvent_type_naptha,0.0,SVC_1_RK_C2,0,cylinder-bands
solvent_type_xylol,0.0,SVC_1_RK_C2,0,cylinder-bands
type_on_cylinder_no,0.0101851851851851,SVC_1_RK_C2,0,cylinder-bands
type_on_cylinder_yes,0.0,SVC_1_RK_C2,0,cylinder-bands
press_type_albert70,0.0,SVC_1_RK_C2,0,cylinder-bands
press_type_motter70,0.0076388888888888,SVC_1_RK_C2,0,cylinder-bands
press_type_motter94,0.0,SVC_1_RK_C2,0,cylinder-bands
press_type_woodhoe70,0.0319444444444444,SVC_1_RK_C2,0,cylinder-bands
cylinder_size_catalog,0.0037037037037036,SVC_1_RK_C2,0,cylinder-bands
cylinder_size_spiegel,0.0,SVC_1_RK_C2,0,cylinder-bands
cylinder_size_tabloid,0.0,SVC_1_RK_C2,0,cylinder-bands
paper_mill_location_canadian,0.0120370370370369,SVC_1_RK_C2,0,cylinder-bands
paper_mill_location_mideuropean,0.0023148148148147,SVC_1_RK_C2,0,cylinder-bands
paper_mill_location_northus,0.0050925925925925,SVC_1_RK_C2,0,cylinder-bands
paper_mill_location_scandanavian,0.0,SVC_1_RK_C2,0,cylinder-bands
paper_mill_location_southus,0.0,SVC_1_RK_C2,0,cylinder-bands
press,0.0754629629629629,XGB_2_RK_C2,0,cylinder-bands
unit_number,0.0104166666666666,XGB_2_RK_C2,0,cylinder-bands
plating_tank,0.0018518518518518,XGB_2_RK_C2,0,cylinder-bands
proof_cut,0.0127314814814814,XGB_2_RK_C2,0,cylinder-bands
viscosity,0.0324074074074073,XGB_2_RK_C2,0,cylinder-bands
caliper,0.0062499999999999,XGB_2_RK_C2,0,cylinder-bands
ink_temperature,0.0414351851851851,XGB_2_RK_C2,0,cylinder-bands
humifity,0.0344907407407407,XGB_2_RK_C2,0,cylinder-bands
roughness,0.0201388888888888,XGB_2_RK_C2,0,cylinder-bands
blade_pressure,0.0247685185185184,XGB_2_RK_C2,0,cylinder-bands
varnish_pct,0.0506944444444443,XGB_2_RK_C2,0,cylinder-bands
press_speed,0.0694444444444443,XGB_2_RK_C2,0,cylinder-bands
ink_pct,0.0578703703703703,XGB_2_RK_C2,0,cylinder-bands
solvent_pct,0.0363425925925925,XGB_2_RK_C2,0,cylinder-bands
esa_voltage,0.0388888888888888,XGB_2_RK_C2,0,cylinder-bands
esa_amperage,0.0,XGB_2_RK_C2,0,cylinder-bands
wax,0.0284722222222221,XGB_2_RK_C2,0,cylinder-bands
hardener,0.0284722222222221,XGB_2_RK_C2,0,cylinder-bands
roller_durometer,0.0238425925925925,XGB_2_RK_C2,0,cylinder-bands
current_density,0.0212962962962962,XGB_2_RK_C2,0,cylinder-bands
anode_space_ratio,0.0076388888888888,XGB_2_RK_C2,0,cylinder-bands
chrome_content,0.0,XGB_2_RK_C2,0,cylinder-bands
grain_screened_no,0.0608796296296295,XGB_2_RK_C2,0,cylinder-bands
grain_screened_yes,0.0071759259259258,XGB_2_RK_C2,0,cylinder-bands
ink_color_key,0.0,XGB_2_RK_C2,0,cylinder-bands
proof_on_ctd_ink_no,0.0027777777777777,XGB_2_RK_C2,0,cylinder-bands
proof_on_ctd_ink_yes,0.0004629629629629,XGB_2_RK_C2,0,cylinder-bands
blade_mfg_benton,0.0013888888888888,XGB_2_RK_C2,0,cylinder-bands
blade_mfg_uddeholm,0.0,XGB_2_RK_C2,0,cylinder-bands
cylinder_division_gallatin,0.0,XGB_2_RK_C2,0,cylinder-bands
paper_type_coated,0.0,XGB_2_RK_C2,0,cylinder-bands
paper_type_super,0.0025462962962962,XGB_2_RK_C2,0,cylinder-bands
paper_type_uncoated,0.0,XGB_2_RK_C2,0,cylinder-bands
ink_type_coated,0.0,XGB_2_RK_C2,0,cylinder-bands
ink_type_cover,0.0020833333333332,XGB_2_RK_C2,0,cylinder-bands
ink_type_uncoated,0.0,XGB_2_RK_C2,0,cylinder-bands
direct_steam_no,0.0,XGB_2_RK_C2,0,cylinder-bands
direct_steam_yes,0.0,XGB_2_RK_C2,0,cylinder-bands
solvent_type_line,0.0,XGB_2_RK_C2,0,cylinder-bands
solvent_type_naptha,0.0,XGB_2_RK_C2,0,cylinder-bands
solvent_type_xylol,0.0,XGB_2_RK_C2,0,cylinder-bands
type_on_cylinder_no,0.0020833333333332,XGB_2_RK_C2,0,cylinder-bands
type_on_cylinder_yes,0.0094907407407407,XGB_2_RK_C2,0,cylinder-bands
press_type_albert70,0.0,XGB_2_RK_C2,0,cylinder-bands
press_type_motter70,0.0,XGB_2_RK_C2,0,cylinder-bands
press_type_motter94,0.0,XGB_2_RK_C2,0,cylinder-bands
press_type_woodhoe70,0.0442129629629629,XGB_2_RK_C2,0,cylinder-bands
cylinder_size_catalog,0.0,XGB_2_RK_C2,0,cylinder-bands
cylinder_size_spiegel,0.0,XGB_2_RK_C2,0,cylinder-bands
cylinder_size_tabloid,0.0,XGB_2_RK_C2,0,cylinder-bands
paper_mill_location_canadian,0.0101851851851851,XGB_2_RK_C2,0,cylinder-bands
paper_mill_location_mideuropean,0.0,XGB_2_RK_C2,0,cylinder-bands
paper_mill_location_northus,0.004861111111111,XGB_2_RK_C2,0,cylinder-bands
paper_mill_location_scandanavian,0.004398148148148,XGB_2_RK_C2,0,cylinder-bands
paper_mill_location_southus,0.0002314814814814,XGB_2_RK_C2,0,cylinder-bands
press,0.0710648148148148,RK_Prec,0,cylinder-bands
unit_number,0.0162037037037037,RK_Prec,0,cylinder-bands
plating_tank,0.0085648148148148,RK_Prec,0,cylinder-bands
proof_cut,0.0335648148148148,RK_Prec,0,cylinder-bands
viscosity,0.0409722222222222,RK_Prec,0,cylinder-bands
caliper,0.0060185185185185,RK_Prec,0,cylinder-bands
ink_temperature,0.0523148148148148,RK_Prec,0,cylinder-bands
humifity,0.0474537037037037,RK_Prec,0,cylinder-bands
roughness,0.0027777777777778,RK_Prec,0,cylinder-bands
blade_pressure,0.0284722222222222,RK_Prec,0,cylinder-bands
varnish_pct,0.0217592592592593,RK_Prec,0,cylinder-bands
press_speed,0.0835648148148148,RK_Prec,0,cylinder-bands
ink_pct,0.0532407407407407,RK_Prec,0,cylinder-bands
solvent_pct,0.0372685185185185,RK_Prec,0,cylinder-bands
esa_voltage,0.0368055555555556,RK_Prec,0,cylinder-bands
esa_amperage,0.0,RK_Prec,0,cylinder-bands
wax,0.0099537037037037,RK_Prec,0,cylinder-bands
hardener,0.025,RK_Prec,0,cylinder-bands
roller_durometer,0.0314814814814815,RK_Prec,0,cylinder-bands
current_density,0.0231481481481482,RK_Prec,0,cylinder-bands
anode_space_ratio,0.0212962962962963,RK_Prec,0,cylinder-bands
chrome_content,0.0,RK_Prec,0,cylinder-bands
grain_screened_no,0.0412037037037037,RK_Prec,0,cylinder-bands
grain_screened_yes,0.0,RK_Prec,0,cylinder-bands
ink_color_key,0.0,RK_Prec,0,cylinder-bands
proof_on_ctd_ink_no,0.0016203703703704,RK_Prec,0,cylinder-bands
proof_on_ctd_ink_yes,0.0106481481481481,RK_Prec,0,cylinder-bands
blade_mfg_benton,0.0085648148148148,RK_Prec,0,cylinder-bands
blade_mfg_uddeholm,0.0,RK_Prec,0,cylinder-bands
cylinder_division_gallatin,0.0,RK_Prec,0,cylinder-bands
paper_type_coated,0.0,RK_Prec,0,cylinder-bands
paper_type_super,0.0,RK_Prec,0,cylinder-bands
paper_type_uncoated,0.0,RK_Prec,0,cylinder-bands
ink_type_coated,0.0,RK_Prec,0,cylinder-bands
ink_type_cover,0.0023148148148148,RK_Prec,0,cylinder-bands
ink_type_uncoated,0.0,RK_Prec,0,cylinder-bands
